cluster_id,name,description,size,category
20,Debug LangChain OSS provider integrations and implementation errors,"Users experienced debugging and integration issues with LangChain OSS Python and JavaScript implementations, encountering problems with specific provider integrations (ChatGoogleGenerativeAI, ChatAnthropic, ChatBedrock), SQL query generation errors, and timeout/server errors. The requests also included integration help for new model support, custom retriever development, and structured output implementations across various LangChain components.",139,LangChain OSS
4,Handle LangSmith subscription cancellation and billing refund requests,"Users requested billing refunds and subscription cancellations for LangSmith services due to unused charges, unexpected billing increases, and service dissatisfaction. The requests involved various LangSmith plan types including Developer, Plus, and Startup plans, with users seeking account deletion, credit refunds, and assistance with payment failures.",119,Admin/Account management
3,Filter commercial spam communications misdirected to support channels,"Users received multiple unsolicited commercial spam messages offering petroleum products, mobile app development services, electronic components, and domain purchases that were completely unrelated to LangChain products. These spam communications were misdirected to LangChain support channels and required identification and removal by the support team.",108,Admin/Account management
34,Debug LangGraph OSS Python and JavaScript implementation issues,"Users encountered various implementation challenges with LangGraph OSS, including debugging issues with human-in-the-loop interrupts in subgraphs, AsyncRedisSaver checkpointer problems, test failures after version upgrades, and module import errors in Python environments. They also requested features like MCP sampling support, Vercel Data Stream Protocol integration for JavaScript, and mechanisms for direct node navigation in subgraphs, while seeking best practices guidance for checkpoint management, multiagent conversations, and state handling patterns.",96,LangGraph OSS
24,Configure LangGraph Platform deployment infrastructure and advanced BYOC settings,"Users requested comprehensive configuration assistance for LangGraph Platform deployment setups, including BYOC implementations, infrastructure customization (private ALB, IP whitelisting, AWS/GCP integration), and advanced deployment features (Redis clusters, checkpointer management, scaling profiles). They also sought documentation clarifications for Docker deployments, feature requests for additional deployment slots, and information about upcoming BYOK capabilities and enterprise deployment options.",91,LangGraph Platform/Studio
43,Implement LangSmith UI and SDK feature enhancement requests,"Users requested new feature enhancements across LangSmith's UI platform, including CSV export functionality for evaluation datasets, human-in-the-loop experiment comparison, waterfall view navigation, custom dashboards for LangGraph metrics, and audio-based conversation evaluation capabilities. Additional requests covered multi-region workspace support, input character limits, TypeScript SDK evaluate function improvements, webhook enhancements for prompt commits and tag changes, and binary file upload integration for online evaluations.",86,LangSmith Product
30,Debug LangGraph Platform production deployment infrastructure failures,"Users experienced critical production issues with LangGraph Platform deployments including DNS resolution failures, database connectivity problems, authentication errors, and deployment instability causing service outages. They sought debugging assistance for self-hosted and cloud deployments facing infrastructure-level problems like Redis/Postgres conflicts, asyncpg connection failures, Kubernetes StatefulSet issues, and persistent 503/429 errors requiring manual intervention.",85,LangGraph Platform/Studio
38,Debug LangSmith tracing UI visualization and navigation issues,"Users experienced debugging issues with LangSmith tracing UI and visualization functionality, including problems with trace output display, UI navigation, thread creation failures, and trace viewing limitations. The support requests covered issues with trace visibility, null outputs at root level, Service Unavailable errors for large traces, UI resizing problems preventing content copying, and navigation regression issues affecting the trace viewing experience.",79,LangSmith Product
33,Request LangGraph Platform deployment quota limit increases,"Users requested deployment quota increases for LangGraph Platform to expand their allocation limits from current restrictions (typically 1-2 deployments) to higher numbers needed for their organizational workflows. The requests focused specifically on obtaining additional deployment slots to support multiple environments like development, staging, and production, with some users needing increases from 5 to 50 deployments for enterprise-scale multi-project implementations.",75,LangGraph Platform/Studio
12,Resolve Admin billing invoice generation and document management issues,"Users requested administrative help with invoice management tasks including downloading, correcting, re-issuing, and updating billing documents with proper company information for their LangSmith accounts. These requests focused specifically on invoice generation, PDF formatting, address corrections, payment receipt documentation, and accessing historical billing records for accounting and tax purposes.",74,Admin/Account management
42,Debug LangSmith Python SDK tracing and experiments integration issues,"Users requested debugging and optimization help for LangSmith Python SDK tracing implementations experiencing various technical issues including performance bottlenecks, missing traces, payload size limits, and intermittent data flow problems. They also sought assistance with LangSmith experiments functionality including pairwise comparisons, bulk exports, repetition support, and evaluation trace discrepancies in their Python applications.",72,LangSmith Product
17,Configure LangSmith billing plan setup and subscription management,"Users needed help setting up and activating LangSmith billing plans including startup plan configuration, organization management, payment method setup, and seat limit adjustments. They also required clarification on LangSmith pricing structures, plan benefits, usage limits, and billing policies for various subscription tiers including Plus, Enterprise, and Developer plans.",72,Admin/Account management
21,Debug LangSmith self-hosted Kubernetes deployment crashloop and connectivity failures,"Users encountered critical deployment failures and troubleshooting issues with LangSmith self-hosted platform implementations, primarily on Kubernetes environments experiencing pod crashes, authentication errors, and database connection problems. The support requests focused on debugging severe operational issues including crashloop backends, service unavailability, data ingestion failures, and system-breaking problems that prevented normal platform functionality.",72,LangSmith Deployment
23,Configure LangSmith self-hosted authentication and SSO integration issues,"Users encountered various authentication and access control issues with LangSmith self-hosted deployments, including SSO integration problems with Keycloak and Microsoft Entra, license key validation failures, and certificate expiration issues. These requests focused on configuring authentication systems, resolving access problems, and troubleshooting deployment-related authentication infrastructure within self-hosted LangSmith environments.",71,LangSmith Deployment
41,Configure LangSmith tracing settings and advanced feature implementation,"Users requested comprehensive configuration help with LangSmith tracing functionality including retention period adjustments, metadata filtering, UI display optimization, and project-level settings management. They also sought feature enhancements and documentation guidance for advanced LangSmith capabilities including OTEL integration, bulk export functionality, cost tracking, user traceability features, and API implementation for distributed applications.",68,LangSmith Product
2,Handle LangSmith account deletion and data privacy compliance,"Users requested account and organization deletion services for LangSmith platform accounts, primarily for data privacy compliance including GDPR and DSAR requirements. The requests included various scenarios such as billing management, workspace removal, organization renaming, authentication method changes, and complete account closure for administrative and compliance purposes.",68,Admin/Account management
44,Debug LangSmith Playground UI and prompt hub integration issues,"Users experienced debugging issues with LangSmith Playground functionality across Python, JavaScript, and TypeScript implementations, including prompt hub synchronization failures, UI degradation problems, model configuration issues, and schema mismatches. Additional problems included performance issues with hub.pull operations taking over 20 minutes, SDK upgrade errors causing rate limiting and JSON parsing failures, and various UI functionality problems affecting prompt testing workflows.",64,LangSmith Product
7,Handle Admin account deletion for GDPR DSAR compliance,"Users requested account and organization deletion for GDPR and DSAR compliance requirements, along with email unsubscription for data privacy. These requests focused on administrative data removal and compliance obligations without specifying particular LangChain products.",63,Admin/Account management
