cluster_id,name,description,size,total_size,member_clusters,sample_summaries,product,issue_type
10,Debug LangSmith Python SDK tracing integration and configuration errors,"Users experienced debugging issues with LangSmith Python SDK tracing integration, including problems with tracing context application, environment configuration, and metadata retrieval from model calls. The requests also involved troubleshooting serialization errors with StructuredPrompt objects and resolving connectivity issues between LangSmith SDK tracing and LangGraph Platform databases.",68,68,,"['debugging help with LangSmith SDK tracing for Python implementation', 'debugging help with LangSmith SDK tracing for intermediate Python implementation', 'debugging help with LangSmith SDK tracing for Python implementation']",LangSmith,Debugging
120,Resolve LangSmith Administration complex billing and account management issues,"Users experienced complex LangSmith billing and account management issues requiring administrative intervention for organization-level problems. These requests involved multi-faceted account administration needs including ownership transfers, seat management, spend limits, role-based access configuration, and refund processing combined with billing setup corrections.",58,58,,"['billing/account issues help with LangSmith Usage and Billing for PDF invoice download functionality', 'billing/account issues help with LangSmith Administration for recurring organization downtime resolution', 'billing/account help with LangSmith for HIPAA compliance and BAA execution']",LangSmith,Other
36,Configure LangGraph Platform deployment architecture for enterprise and self-hosted environments,"Users needed comprehensive deployment and configuration assistance for LangGraph Platform across various hosting environments, ranging from basic free tier setups to complex enterprise self-hosted implementations. The requests specifically focused on infrastructure architecture decisions, BYOC transitions, multi-region deployments, container compatibility, and integration with services like ClickHouse databases and LangSmith platforms.",58,58,,"['setup help with LangChain development environment for basic configuration', 'deployment help with LangGraph Platform for repository visibility and access configuration', 'version/compatibility help with LangGraph Platform for self-hosted deployment upgrade']",LangGraph Platform,Configuration
53,Configure LangSmith self-hosted deployment enterprise infrastructure setup,"Users requested comprehensive configuration assistance for LangSmith self-hosted and BYOC deployment implementations across various environments including production, development, and enterprise settings. The requests covered complex setup requirements including corporate network proxy configuration, license management, blob storage setup, AWS integration, security compliance, user management, and authentication for EKS deployments.",54,54,,"['deployment help with LangSmith self-hosted and BYOC (Bring Your Own Cloud) configuration for managed ClickHouse implementation', 'configuration help with LangSmith Administration for on-premise deployment user management', 'configuration help with LangSmith Administration for organization name management']",LangSmith,Setup
70,Debug LangGraph Platform Python deployment configuration and dependency issues,"Users experienced Python deployment failures on LangGraph Platform involving PATH environment variable conflicts, ModuleNotFoundError for langgraph_storage module, psycopg2 dependency installation issues, and missing agent traces from prompt template variable mismatches. They also encountered debugging challenges with containerized deployments, dependency conflict resolution during build processes, CLI integration with LangSmith EU endpoints, and infinite restart loops in development servers.",54,54,,"['deployment troubleshooting help with LangGraph Platform for Python implementation', 'performance optimization help with LangSmith Prompt Hub for Python implementation, followed by deployment troubleshooting help with LangGraph Platform', 'deployment troubleshooting help with LangGraph Platform for Python implementation']",LangGraph Platform,Debugging
91,Configure LangGraph Python advanced features and resolve Platform API documentation gaps,"Users encountered configuration challenges with LangGraph Python Library advanced implementations including StateGraph, streaming control, TTL parameters, and tool integrations, alongside documentation gaps affecting LangGraph Studio Command patterns and Platform API features. Additionally, users needed help with LangGraph Platform API functionality for interrupts, multi-user protection, assistant search, and batch processing integration issues.",44,44,,"['feature request help with LangGraph Python Library for advanced MCP sampling implementation', 'feature request help with LangGraph Platform API for custom error code management implementation', 'performance/optimization help with LangGraph Python Library for advanced ReAct agent implementation to reduce message history context size when tool calls are repeated multiple times']",LangGraph,Configuration
55,Route unspecified general LangChain product inquiries to appropriate teams,"Users submitted multiple general help requests and inquiries that did not specify any particular LangChain product, feature, or technical implementation area. These requests lacked the technical specificity needed to route them to appropriate product teams within the LangChain ecosystem.",42,42,,"['general inquiry help with Other/General for unspecified implementation', 'general help with Other/General for unspecified implementation', 'general inquiry help with Other/General for unspecified implementation']",LangChain,Other
50,Implement LangChain Python Library integrations and feature enhancements,"Users encountered diverse challenges implementing LangChain Python Library integrations and enhancements, ranging from feature requests for MCP adapters and HTTP streaming to complex deployment integrations with cloud platforms like GCP Vertex AI and Anthropic models. The requests included hub integration with LangSmith project management, contribution guidance, partnership inquiries, and compatibility issues with external frameworks like DSPy.",42,42,,"['integration help with LangChain Python Library for advanced prompt engineering optimization using DSPy, and best practices guidance for cross-LLM prompt comparison', 'contribution opportunity with LangChain general platform for Python implementation', 'feature request help with LangChain Python Library for HTTP streaming and injectable state support in MCP (Model Context Protocol) connectivity implementation']",LangChain,Integration
123,Debug LangGraph Platform deployment infrastructure and configuration issues,"Users needed debugging help with LangGraph Platform deployment issues across both cloud and self-hosted environments, including problems with infrastructure, authentication, database connectivity, HTTP errors, and code versioning. The requests focused on troubleshooting production deployment problems, configuration issues, and performance optimization for deployed graphs.",41,41,,"['debugging help with LangGraph Platform deployment issues for mobile app AI chatbot implementation', 'debugging help with LangGraph Platform API for scale testing implementation', 'debugging help with LangGraph Platform deployment for revision deployment failures']",LangGraph Platform,Debugging
96,Process Admin organization deletion requests with billing management,"Users requested assistance with deleting their LangSmith organizations through the Admin/Account management system, with some requests specifically mentioning the need to handle associated billing arrangements. These requests focused on standard organization deletion procedures rather than regulatory compliance requirements.",40,40,,"['data management help with Admin/Account for organization deletion', 'data management help with Admin/Account for organization deletion', 'data management help with Admin/Account for organization deletion request']",Admin,Other
7,Process Admin individual account deletion and personal data removal,Users requested help with deleting their individual LangChain accounts and removing associated personal data. These requests focused on standard account deletion procedures rather than organizational account management or GDPR-specific compliance requirements.,40,40,,"['data management help with Admin/Account for account deletion and personal data removal', 'data management help with Admin/Account for account deletion', 'data management help with Admin/Account for duplicate account deletion']",Admin,Other
90,Debug LangGraph Python advanced implementation technical errors,"Users encountered complex debugging issues with LangGraph Python components including the Python Library, Studio, and Platform SDK that required troubleshooting advanced implementation challenges. The requests involved resolving technical problems with nested configurations, state persistence, authentication, recursion limits, import errors, human-in-the-loop interrupts, type checking, asyncio cancellation, and synchronous/asynchronous execution modes.",40,40,,"['debugging help with LangGraph Python Library for Python implementation regarding ImportError affecting package releases', ""debugging help with LangGraph Python Library langgraph-supervisor for Python implementation - specifically troubleshooting tools that update state where Command updates weren't being applied correctly, requiring the user to use Command.PARENT workaround until a fix was released in version 0.0.20"", 'debugging help with LangGraph Python Library for advanced human-in-the-loop interrupts within subgraphs implementation']",LangGraph,Debugging
83,Debug LangSmith SDK tracing self-hosted deployment infrastructure issues,"Users encountered complex debugging issues with LangSmith SDK tracing across self-hosted deployments, including trace ingestion failures, missing traces, SSL errors, and infrastructure configuration problems. These issues spanned multiple environments and deployment methods including Helm charts, with problems ranging from filesystem mounting issues to API service errors and deployment management complications.",39,39,,"['debugging help with LangSmith SDK tracing for missing traces and version compatibility issues', 'debugging help with LangSmith SDK/Tracing for trace ingestion outage', 'debugging help with LangSmith SDK tracing for project display and data retention issues']",LangSmith,Debugging
37,Handle LangChain business partnership and commercial collaboration requests,"Users submitted business partnership and collaboration requests seeking various commercial arrangements with LangChain including content partnerships, distribution agreements, sponsorship opportunities, and marketing collaborations. These requests focused on establishing formal business relationships rather than seeking technical support for LangChain products or services.",37,37,,"['business partnership help with LangChain general platform for distribution and reseller opportunities', 'collaboration/partnership help with LangChain general website for business development outreach', 'collaboration/partnership help with LangChain general platform for content marketing implementation']",LangChain,Other
110,Configure LangGraph Platform deployment quota increases for production scaling,"Users requested support for configuring LangGraph Platform deployment quota increases to enable production scaling and handle multiple environment setups. They encountered limitations with current deployment quotas that prevented proper staging and production environment configuration, including specific issues with Fargate deployment ulimit settings and performance troubleshooting.",37,37,,"['account configuration help with LangGraph Platform for deployment quota increase', 'quota increase and deployment troubleshooting help with LangGraph Platform for GitHub integration deployment configuration', 'configuration help with LangGraph Platform for deployment quota increase']",LangGraph Platform,Configuration
93,Resolve Admin account payment processing and access restoration issues,"Users experienced various account payment processing issues including failed transactions, payment method setup problems, and difficulties confirming successful payments. They also encountered account access problems including reactivation needs, document access restrictions, and credit renewal complications that required administrative intervention.",36,36,,"['billing/account help with Admin/Account for payment processing confirmation', 'billing/account issues help with Admin/Account for duplicate charging resolution', 'billing/account issues help with Admin/Account for payment processing implementation']",Admin,Other
